Elementary_School,Elementary_Borough,Elementary_SchoolDigger_Rank,Elementary_Total_Schools,Middle_School,Middle_Borough,Middle_SchoolDigger_Rank,Middle_Total_Schools,Elementary_School_Type,Middle_School_Type,Elementary_Address,Middle_Address,Overlap_Area
P.S. 079 Francis Lewis,Queens,108.0,2445,I.S. 025 Adrien Block,Queens,189.0,1504,Elementary,Junior High-Intermediate-Middle,"147-27 15 DRIVE, QUEENS, NY 11357","34-65 192 STREET, QUEENS, NY 11358",9.299150675399102e-13
P.S. 159,Queens,182.0,2445,M.S. 158 Marie Curie,Queens,116.0,1504,Elementary,Junior High-Intermediate-Middle,"205-01 33 AVENUE, QUEENS, NY 11361","46-35 Oceania Street, Queens, NY 11361",5.500108239323592e-05
P.S. 376,Queens,117.0,2445,I.S. 025 Adrien Block,Queens,189.0,1504,Elementary,Junior High-Intermediate-Middle,"210-21 48 AVENUE, QUEENS, NY 11364","34-65 192 STREET, QUEENS, NY 11358",2.206503797230578e-14
P.S. 144 Col Jeromus Remsen,Queens,129.0,2445,J.H.S. 157 Stephen A. Halsey,Queens,192.0,1504,Elementary,Junior High-Intermediate-Middle,"69-20 JUNO STREET, QUEENS, NY 11375","63-55 102 Street, Queens, NY 11374",1.0177071809530666e-08
P.S./I.S. 187 Hudson Cliffs,Manhattan,195.0,2445,P.S./I.S. 187 Hudson Cliffs,Manhattan,147.0,1504,K-8,K-8,"349 Cabrini Boulevard, Manhattan, NY 10040","349 Cabrini Boulevard, Manhattan, NY 10040",4.9735234833085836e-05
Sixth Avenue Elementary School,Manhattan,223.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"64 WEST 17 STREET, MANHATTAN, NY 10011","330 EAST 21 STREET, MANHATTAN, NY 10010",6.564568736715575e-05
P.S. 163 Bath Beach,Brooklyn,153.0,2445,P.S. 229 Dyker,Brooklyn,193.0,1504,K-8,K-8,"109 Bay 14 Street, Brooklyn, NY 11214","1400 BENSON AVENUE, BROOKLYN, NY 11228",3.940228509086568e-09
P.S. 003 The Margaret Gioiosa School,Staten Island,219.0,2445,I.S. 007 Elias Bernstein,Staten Island,129.0,1504,Elementary,Junior High-Intermediate-Middle,"80 SOUTH GOFF AVENUE, STATEN ISLAND, NY 10309","1270 Huguenot Avenue, Staten Island, NY 10312",0.00032473289062220315
P.S. 130 Hernando De Soto,Manhattan,230.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"143 BAXTER STREET, MANHATTAN, NY 10013","330 EAST 21 STREET, MANHATTAN, NY 10010",1.5080727814215228e-09
P.S. 079 Francis Lewis,Queens,108.0,2445,J.H.S. 185 Edward Bleeker,Queens,243.0,1504,Elementary,Junior High-Intermediate-Middle,"147-27 15 DRIVE, QUEENS, NY 11357","147-26 25 DRIVE, QUEENS, NY 11354",0.0001975480046942738
P.S. 079 Francis Lewis,Queens,108.0,2445,J.H.S. 185 Edward Bleeker,Queens,243.0,1504,Elementary,Junior High-Intermediate-Middle,"147-27 15 DRIVE, QUEENS, NY 11357","147-26 25 DRIVE, QUEENS, NY 11354",2.412913147682808e-12
P.S. 198 Isidor E. Ida Straus,Manhattan,257.0,2445,J.H.S. 167 Robert F. Wagner,Manhattan,96.0,1504,Elementary,Junior High-Intermediate-Middle,"1700 3 AVENUE, MANHATTAN, NY 10128","220 East 76 Street, Manhattan, NY 10021",6.087736131899248e-05
P.S. 205 Alexander Graham Bell,Queens,122.0,2445,Irwin Altman Middle School 172,Queens,231.0,1504,Elementary,Junior High-Intermediate-Middle,"75-25 Bell Boulevard, Queens, NY 11364","81-14 257 Street, Queens, NY 11004",3.1563848697308542e-09
P.S. 105 The Blythebourne,Brooklyn,222.0,2445,J.H.S. 259 William McKinley,Brooklyn,132.0,1504,Elementary,Junior High-Intermediate-Middle,"1031 59 STREET, BROOKLYN, NY 11219","7305 Ft Hamilton Parkway, Brooklyn, NY 11228",3.769932581736204e-07
P.S. 127 McKinley Park,Brooklyn,261.0,2445,The Madeleine Brennan School,Brooklyn,93.0,1504,Elementary,Junior High-Intermediate-Middle,"7805 7 Avenue, Brooklyn, NY 11228","8010 12 AVENUE, BROOKLYN, NY 11228",8.995474192467092e-05
P.S. 032 The Gifford School,Staten Island,226.0,2445,I.S. 007 Elias Bernstein,Staten Island,129.0,1504,Elementary,Junior High-Intermediate-Middle,"232 Barlow Avenue, Staten Island, NY 10308","1270 Huguenot Avenue, Staten Island, NY 10312",5.410575255274747e-06
P.S. 133 The Bellerose School of Excellence,Queens,286.0,2445,J.H.S. 074 Nathaniel Hawthorne,Queens,69.0,1504,Elementary,Junior High-Intermediate-Middle,"248-05 86 AVENUE, QUEENS, NY 11426","61-15 Oceania Street, Queens, NY 11364",6.370691872112095e-18
The River School,Manhattan,240.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"425 East 35 Street, Manhattan, NY 10016","330 EAST 21 STREET, MANHATTAN, NY 10010",7.754135869647387e-05
P.S. 186 Castlewood,Queens,299.0,2445,J.H.S. 074 Nathaniel Hawthorne,Queens,69.0,1504,Elementary,Junior High-Intermediate-Middle,"252-12 72 AVENUE, QUEENS, NY 11426","61-15 Oceania Street, Queens, NY 11364",1.714018457261224e-10
P.S. 133 The Bellerose School of Excellence,Queens,286.0,2445,J.H.S. 067 Louis Pasteur,Queens,83.0,1504,Elementary,Junior High-Intermediate-Middle,"248-05 86 AVENUE, QUEENS, NY 11426","51-60 MARATHON PARKWAY, QUEENS, NY 11362",3.674312209964826e-09
P.S. 174 William Sidney Mount,Queens,179.0,2445,J.H.S. 157 Stephen A. Halsey,Queens,192.0,1504,Elementary,Junior High-Intermediate-Middle,"65-30 Dieterle Crescent, Queens, NY 11374","63-55 102 Street, Queens, NY 11374",2.1372815679929315e-11
P.S. 159,Queens,182.0,2445,I.S. 025 Adrien Block,Queens,189.0,1504,Elementary,Junior High-Intermediate-Middle,"205-01 33 AVENUE, QUEENS, NY 11361","34-65 192 STREET, QUEENS, NY 11358",0.00015974519347458158
P.S. 159,Queens,182.0,2445,I.S. 025 Adrien Block,Queens,189.0,1504,Elementary,Junior High-Intermediate-Middle,"205-01 33 AVENUE, QUEENS, NY 11361","34-65 192 STREET, QUEENS, NY 11358",1.1769753009625306e-08
P.S. 023 Richmondtown,Staten Island,197.0,2445,I.S. 075 Frank D. Paulo,Staten Island,180.0,1504,Elementary,Junior High-Intermediate-Middle,"30 Natick Street, Staten Island, NY 10306","455 HUGUENOT AVENUE, STATEN ISLAND, NY 10312",6.752142912078955e-07
P.S. 186 Castlewood,Queens,299.0,2445,J.H.S. 067 Louis Pasteur,Queens,83.0,1504,Elementary,Junior High-Intermediate-Middle,"252-12 72 AVENUE, QUEENS, NY 11426","51-60 MARATHON PARKWAY, QUEENS, NY 11362",8.402573951380956e-05
P.S. 209 Clearview Gardens,Queens,199.0,2445,I.S. 025 Adrien Block,Queens,189.0,1504,Elementary,Junior High-Intermediate-Middle,"16-10 Utopia Parkway, Queens, NY 11357","34-65 192 STREET, QUEENS, NY 11358",1.4779601828223265e-06
P.S. 209 Clearview Gardens,Queens,199.0,2445,I.S. 025 Adrien Block,Queens,189.0,1504,Elementary,Junior High-Intermediate-Middle,"16-10 Utopia Parkway, Queens, NY 11357","34-65 192 STREET, QUEENS, NY 11358",3.003464462758074e-07
P.S. 209 Clearview Gardens,Queens,199.0,2445,I.S. 025 Adrien Block,Queens,189.0,1504,Elementary,Junior High-Intermediate-Middle,"16-10 Utopia Parkway, Queens, NY 11357","34-65 192 STREET, QUEENS, NY 11358",8.222550525299515e-07
P.S. 127 McKinley Park,Brooklyn,261.0,2445,J.H.S. 259 William McKinley,Brooklyn,132.0,1504,Elementary,Junior High-Intermediate-Middle,"7805 7 Avenue, Brooklyn, NY 11228","7305 Ft Hamilton Parkway, Brooklyn, NY 11228",1.582872051811444e-05
P.S. 196 Grand Central Parkway,Queens,13.0,2445,J.H.S. 190 Russell Sage,Queens,381.0,1504,Elementary,Junior High-Intermediate-Middle,"71-25 113 STREET, QUEENS, NY 11375","68-17 AUSTIN STREET, QUEENS, NY 11375",2.1048591973071456e-09
P.S. 003 The Margaret Gioiosa School,Staten Island,219.0,2445,I.S. 034 Tottenville,Staten Island,178.0,1504,Elementary,Junior High-Intermediate-Middle,"80 SOUTH GOFF AVENUE, STATEN ISLAND, NY 10309","528 ACADEMY AVENUE, STATEN ISLAND, NY 10307",0.0002628332618835543
P.S. 003 Charrette School,Manhattan,277.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"490 HUDSON STREET, MANHATTAN, NY 10014","330 EAST 21 STREET, MANHATTAN, NY 10010",5.2263778335397843e-14
P.S. 173 Fresh Meadows,Queens,280.0,2445,J.H.S. 216 George J. Ryan,Queens,119.0,1504,Elementary,Junior High-Intermediate-Middle,"174-10 67 AVENUE, QUEENS, NY 11365","64-20 175 Street, Queens, NY 11365",0.0002522193698697576
P.S. 173 Fresh Meadows,Queens,280.0,2445,J.H.S. 216 George J. Ryan,Queens,119.0,1504,Elementary,Junior High-Intermediate-Middle,"174-10 67 AVENUE, QUEENS, NY 11365","64-20 175 Street, Queens, NY 11365",5.725213941628067e-13
P.S. 229 Dyker,Brooklyn,307.0,2445,The Madeleine Brennan School,Brooklyn,93.0,1504,K-8,Junior High-Intermediate-Middle,"1400 BENSON AVENUE, BROOKLYN, NY 11228","8010 12 AVENUE, BROOKLYN, NY 11228",5.48466444522132e-11
The Barbara Esselborn School,Staten Island,190.0,2445,I.S. 024 Myra S. Barnes,Staten Island,212.0,1504,Elementary,Junior High-Intermediate-Middle,"330 DURANT AVENUE, STATEN ISLAND, NY 10308","750 DURANT AVENUE, STATEN ISLAND, NY 10308",0.00038364807112500253
P.S. 032 The Gifford School,Staten Island,226.0,2445,I.S. 075 Frank D. Paulo,Staten Island,180.0,1504,Elementary,Junior High-Intermediate-Middle,"232 Barlow Avenue, Staten Island, NY 10308","455 HUGUENOT AVENUE, STATEN ISLAND, NY 10312",0.00022543981601510037
P.S. 174 William Sidney Mount,Queens,179.0,2445,P.S. 049 Dorothy Bonawit Kole,Queens,229.0,1504,Elementary,K-8,"65-30 Dieterle Crescent, Queens, NY 11374","63-60 80 Street, Queens, NY 11379",1.7163490866444775e-12
P.S. 023 Richmondtown,Staten Island,197.0,2445,I.S. 024 Myra S. Barnes,Staten Island,212.0,1504,Elementary,Junior High-Intermediate-Middle,"30 Natick Street, Staten Island, NY 10306","750 DURANT AVENUE, STATEN ISLAND, NY 10308",0.0007246430787684139
P.S. 105 The Blythebourne,Brooklyn,222.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"1031 59 STREET, BROOKLYN, NY 11219","4812 9 Avenue, Brooklyn, NY 11220",5.950239515475597e-06
P.S. 102 The Bayview,Brooklyn,320.0,2445,The Madeleine Brennan School,Brooklyn,93.0,1504,Elementary,Junior High-Intermediate-Middle,"211 72 STREET, BROOKLYN, NY 11209","8010 12 AVENUE, BROOKLYN, NY 11228",4.3200428783806134e-06
