ATS System Code,Location Name,Location Category Description,Borough,Full Address,Zoned Elementary,Zoned Middle,Zoned High
84X380,Success Academy Charter School - Bronx 3,K-8,Bronx,"1000 TELLER AVENUE, BRONX, NY 10456",No,No,No
84X387,Brilla College Preparatory Charter School,K-8,Bronx,"413 EAST 144 STREET, BRONX, NY 10454",No,No,No
84X389,Bronx Global Learning Institute for Girls Charter School,K-8,Bronx,"750 CONCOURSE VILLAGE WEST, BRONX, NY 10451",No,No,No
84X393,University Prep Charter High School,High school,Bronx,"600 Saint Ann's Avenue, Bronx, NY 10455",No,No,No
84X394,Mott Haven Charter School,K-8,Bronx,"170 BROWN PLACE, BRONX, NY 10454",No,No,No
84X395,"NYC Charter High School for Architecture, Engineering and Construction Industries (AECI)",High school,Bronx,"838 BROOK AVENUE, BRONX, NY 10451",No,No,No
84X398,Bronx Community Charter School,K-8,Bronx,"3170 WEBSTER AVENUE, BRONX, NY 10467",No,No,No
84X407,Access Bronx Charter School,Elementary,Bronx,"388 WILLIS AVENUE, BRONX, NY 10454",No,No,No
84X419,Bronx Academy of Promise Charter School,K-8,Bronx,"1349 INWOOD AVENUE, BRONX, NY 10452",No,No,No
84X422,Icahn Charter School 3,K-8,Bronx,"1500 PELHAM PARKWAY SOUTH, BRONX, NY 10461",No,No,No
84X429,Charter High School for Law and Social Justice,High school,Bronx,"1960 UNIVERSITY AVENUE, BRONX, NY 10453",No,No,No
84X460,Atmosphere Academy Public Charter School,Junior High-Intermediate-Middle,Bronx,"22 MARBLE HILL AVENUE, BRONX, NY 10463",No,No,No
84X461,Nuasin Next Generation Charter School,K-12 all grades,Bronx,"180 West 165 Street, Bronx, NY 10452",No,No,No
84X464,Success Academy Charter School - Bronx 4,Elementary,Bronx,"885 Bolton Avenue, Bronx, NY 10473",No,No,No
84X465,Boys Preparatory Charter School of New York,K-8,Bronx,"192 East 151 Street, Bronx, NY 10451",No,No,No
84X471,American Dream Charter School,Secondary School,Bronx,"510 EAST 141 STREET, BRONX, NY 10454",No,No,No
84X472,Family Life Academy Charter School III,Elementary,Bronx,"370 Gerard Avenue, BRONX, NY 10451",No,No,No
84X482,Dr. Richard Izquierdo Health and Science Charter School,Secondary School,Bronx,"800 HOME STREET, BRONX, NY 10456",No,No,No
84X484,Bronx Charter School for Better Learning II,Elementary,Bronx,"2545 GUNTHER AVENUE, BRONX, NY 10469",No,No,No
84X486,Rosalyn Yalow Charter School,Elementary,Bronx,"650 GRAND CONCOURSE, BRONX, NY 10451",No,No,No
84X487,Girls Preparatory Charter School of the Bronx,K-8,Bronx,"681 Kelly Street, Bronx, NY 10455",No,No,No
84X488,The Equality Charter School,Secondary School,Bronx,"4140 Hutchinson River Parkway East, Bronx, NY 10475",No,No,No
84X489,South Bronx Classical Charter School III,Elementary,Bronx,"3458 Third Avenue, Bronx, NY 10456",No,No,No
84X491,Academic Leadership Charter School,K-8,Bronx,"677 EAST 141 STREET, BRONX, NY 10454",No,No,No
84X492,South Bronx Early College Academy Charter School,Junior High-Intermediate-Middle,Bronx,"766 WESTCHESTER AVENUE, BRONX, NY 10455",No,No,No
84X493,Success Academy Charter School - Bronx 1,Elementary,Bronx,"339 MORRIS AVENUE, BRONX, NY 10451",No,No,No
84X494,Success Academy Charter School - Bronx 2,K-8,Bronx,"450 SAINT PAUL'S PLACE, BRONX, NY 10456",No,No,No
84X496,Icahn Charter School 4,K-8,Bronx,"1500 PELHAM PARKWAY SOUTH, BRONX, NY 10461",No,No,No
84X497,Storefront Academy Charter School,Elementary,Bronx,"609 JACKSON AVENUE, BRONX, NY 10455",No,No,No
84X538,Icahn Charter School 5,K-8,Bronx,"1500 PELHAM PARKWAY SOUTH, BRONX, NY 10461",No,No,No
84X539,United Charter High School for Advanced Math and Science,High school,Bronx,"99 TERRACE VIEW AVENUE, BRONX, NY 10463",No,No,No
84X553,United Charter High School for the Humanities,High school,Bronx,"99 TERRACE VIEW AVENUE, BRONX, NY 10463",No,No,No
84X579,Bronx Charter School for Excellence 2,Elementary,Bronx,"1804 HOLLAND AVENUE, BRONX, NY 10462",No,No,No
84X581,South Bronx Community Charter High School,High school,Bronx,"1110 Washington Avenue, Bronx, NY 10456",No,No,No
84X585,Legacy College Preparatory Charter School,Junior High-Intermediate-Middle,Bronx,"416 WILLIS AVENUE, BRONX, NY 10454",No,No,No
84X586,Brilla Veritas Charter School,Elementary,Bronx,"600 East 156 Street, Bronx, NY 10455",No,No,No
84X587,NYC Autism Charter School Bronx,Ungraded,Bronx,"1180 TINTON AVENUE, BRONX, NY 10456",No,No,No
