School Name,State Rank,Total Schools
Ps 5 Dr Ronald McNair,681,2445
Lee Avenue School,682,2445
Renaissance Charter School,683,2445
South Hill School,684,2445
Marilla Primary School,685,2445
Rj O Intermediate School,686,2445
Mattituck-Cutchogue Elementary School,687,2445
George M Davis Elementary School,688,2445
Hagan School,689,2445
Hebrew Language Academy Charter School 2,690,2445
Vestal Hills Elementary School,691,2445
William H Barton Intermediate School,692,2445
Robert L Bradley Elementary School,693,2445
Babylon Memorial Grade School,694,2445
Hugh W Gregg Elementary School,695,2445
Bolton Central School,696,2445
Intermediate Education Center,697,2445
Ps 154,698,2445
Plank Road South Elementary School,699,2445
Glencliff School,700,2445
Achievement First-Bushwick Charter School,701,2445
Grand Concourse Academy Charter School,702,2445
Ps 376,703,2445
Ps 146 Howard Beach,704,2445
Nightengale Elementary School,705,2445
Steele Elementary School,706,2445
Ps 56 Lewis H Latimer,707,2445
Ps 130 Parkside (The),708,2445
Castleton Elementary School,709,2445
Burr Intermediate School,710,2445
Cypress Hills Ascend Charter School,711,2445
Cloverbank Elementary School,712,2445
Ace Academy For Scholars At The Geraldine Ferraro Campus,713,2445
Ps 161 Arthur Ashe School,714,2445
Lindell Boulevard School,715,2445
Ps 261 Zipporiah Mills,716,2445
Elma Primary School,717,2445
Canarsie Ascend Charter School,718,2445
Tioga Elementary School,719,2445
Richard J Bailey School,720,2445
Ps 229 Emanuel Kaplan,721,2445
Mooers Elementary School,722,2445
Uncommon Crown Heights Charter School Nyc,723,2445
Clarence Center Elementary School,724,2445
Highview Elementary School,725,2445
Somers Intermediate School,726,2445
Sauquoit Valley Elementary School,727,2445
Ps 230 Doris L Cohen,728,2445
Colton-Pierrepont Central School,729,2445
French Road Elementary School,730,2445
Ps 244 Richard R Green,731,2445
Ps 4 Maurice Wollin,732,2445
Victor Intermediate School,733,2445
Ps 191 Mayflower,734,2445
Ps 149 Danny Kaye,735,2445
Ps 29 Bardwell,736,2445
Ps 12 James B Colgate,737,2445
Cuba-Rushford Elementary School,738,2445
Orenda Elementary School,739,2445
Woodland Avenue School,740,2445
Ps 255 Barbara Reing School,741,2445
Wheeler Avenue School,742,2445
Family School (The),743,2445
Port Jefferson Elementary School,744,2445
Jefferson Avenue School,745,2445
Montessori School 27,746,2445
Ps 16,747,2445
Ps 13 Clement C Moore,748,2445
Bronx Charter School For Better Learning,749,2445
Uncommon Canarsie Charter School Nyc,750,2445
Ps 163 Alfred E Smith,751,2445
Northside School,752,2445
Bardonia Elementary School,753,2445
Parkdale Elementary School,754,2445
Ps 63 Old South,755,2445
East Quogue School,756,2445
John F Kennedy School,757,2445
Ps 49 Dorothy Bonawit Kole,758,2445
Ps 120,759,2445
Floyd Bell Elementary School,760,2445
Kaegebein School,761,2445
Otsego Elementary School,762,2445
East Brooklyn Ascend Charter School (Ebacs),763,2445
Chazy Central Rural Elementary School,764,2445
Lenape Elementary School,765,2445
Poland Elementary School,766,2445
Ps 138,767,2445
Montessori Magnet School,768,2445
Gordon Creek Elementary School,769,2445
Lake Placid Elementary School,770,2445
Uncommon Excellence Boys Charter School Nyc,771,2445
Sunrise Drive Elementary School,772,2445
Deauville Gardens East Elementary School,773,2445
Ps 11 Kathryn Phelan,774,2445
Maplemere Elementary School,775,2445
Ps 69 Jackson Heights,776,2445
East Flatbush Ascend Charter School (Efacs),777,2445
Allendale Elementary School,778,2445
School 30,779,2445
Ps/Is 208,780,2445
Ps 13 Roberto Clemente,781,2445
Ps 13 M L Lindemeyer,782,2445
Fifth Avenue Elementary School,783,2445
Clinton Elementary School,784,2445
47 American Sign Language And English Lower School (The),785,2445
KIPP Bronx Charter School III,786,2445
Lakewood Elementary School,787,2445
Lincoln Avenue Elementary School,788,2445
Montauk School,789,2445
Brooklyn New School-Ps 146 (The),790,2445
Huth Road School,791,2445
Neighborhood Charter School Of Harlem,792,2445
Northside Elementary School,793,2445
Ridgeway School,794,2445
South Bay School,795,2445
Clinton Elementary School,796,2445
Fairfield Elementary School,797,2445
Ps 282 Park Slope,798,2445
Ps 94 Henry Longfellow (The),799,2445
Santapogue School,800,2445
Alden Intermediate School,801,2445
Eden Elementary School,802,2445
Roscoe Central School,803,2445
Groton Elementary School,804,2445
Split Rock Elementary School,805,2445
Harriet Tubman Charter School,806,2445
Uncommon Brownsville North Charter School Nyc,807,2445
Caroline Elementary School,808,2445
Baychester Academy,809,2445
Tuckahoe School,810,2445
Ps 21 Margaret Emery-Elm Park,811,2445
Regan Intermediate School,812,2445
Riverhead Charter School,813,2445
Sisulu-Walker Charter School Of Harlem,814,2445
Children's Aid College Preparatory Charter School,815,2445
Geyser Road Elementary School,816,2445
Marion Elementary School,817,2445
Shatekon Elementary School,818,2445
Achievement First North Brooklyn Preparatory Charter School,819,2445
Polk Street School,820,2445
Ps 312 Bergen Beach,821,2445
Explore Empower Charter School,822,2445
Ps 112 Lefferts Park,823,2445
Brookside Elementary School,824,2445
Catherine M McNamara Elementary School,825,2445
Charles A Lindbergh Elementary School,826,2445
Teachers College Community School,827,2445
