School Name,State Rank,Total Schools
Oriskany Junior-Senior High School,482,1504
S S Seward Institute,483,1504
Berne-Knox-Westerlo Junior-Senior High School,484,1504
Woodlands Middle/High School,485,1504
Clinton Middle School,486,1504
Lyme Central School,487,1504
Ballston Spa Middle School,488,1504
Access Bronx Charter School,489,1504
Kahlil Gibran School,490,1504
Middle School 936 Arts Off 3rd,491,1504
Launch Expeditionary Learning Charter School,492,1504
Ps/Middle School 194,493,1504
Plainedge Middle School,494,1504
Linden Avenue Middle School,495,1504
Is 73 Frank Sansivieri Intermediate School (The),496,1504
Poland Junior-Senior High School,497,1504
Uncommon Bed-Stuy West Charter School Nyc,498,1504
Holland Middle School,499,1504
Maine-Endwell Middle School,500,1504
Wisdom Lane Middle School,501,1504
Westfield Middle School,502,1504
Brilla College Preparatory Charter School,503,1504
Challenge Preparatory Charter School,504,1504
Ps 124 Osmond A Church,505,1504
Elwood Middle School,506,1504
Uncommon Brownsville South Charter School Nyc,507,1504
Middle School 137 America's School Of Heroes,508,1504
Mount Sinai Middle School,509,1504
Urban Assembly School For Leadership And Empowerment,510,1504
New Heights Academy Charter School,511,1504
Uncommon Excellence Boys Charter School Nyc,512,1504
Unity Preparatory Charter School Of Brooklyn,513,1504
Donald S Ray School,514,1504
Morgan Road Middle School,515,1504
Richard T Stank Middle School,516,1504
Delaware Academy High School,517,1504
Forestville Central High School,518,1504
Uncommon Bed-Stuy East Charter School Nyc,519,1504
Casimir Pulaski School,520,1504
Dake Junior High School,521,1504
Mahopac Middle School,522,1504
Democracy Preparatory Charter School,523,1504
Wantagh Middle School,524,1504
Elmwood Village Charter School Days Park,525,1504
Scio Central School,526,1504
Is 72 Rocco Laurie,527,1504
South Bronx Charter School,528,1504
Bronx Preparatory Charter School,529,1504
South Lewis Middle School,530,1504
Moravia Junior-Senior High School,531,1504
Edward Town Middle School,532,1504
KIPP Bronx Charter School II,533,1504
Frederick Olmsted #156,534,1504
Onondaga Senior High School,535,1504
Menands School,536,1504
Eastport-South Manor Junior Senior High School,537,1504
Churchville-Chili Middle School,538,1504
Bushwick Ascend Charter School,539,1504
Waterford-Halfmoon Junior-Senior High School,540,1504
Sherman High School,541,1504
Allegany-Limestone Middle-High School,542,1504
Brooklyn Scholars Charter School,543,1504
Onteora Middle School,544,1504
Syracuse Latin School,545,1504
Ps/Is 155 Nicholas Herkimer,546,1504
Jonas Bronck Academy,547,1504
Roxbury Central School,548,1504
Is 230,549,1504
Ps 66,550,1504
Caledonia-Mumford Middle/High School,551,1504
Uncommon Crown Heights Charter School Nyc,552,1504
Stamford Central School,553,1504
Junior High School 202 Robert H Goddard,554,1504
Is 211 John Wilson,555,1504
Equality Charter School,556,1504
North Syracuse Junior High School,557,1504
Paula Hedbavny School,558,1504
Park Slope Collegiate,559,1504
Dock Street School For Steam Studies,560,1504
Emblaze Academy Charter School,561,1504
Franklinville Junior-Senior High School,562,1504
Boynton Middle School,563,1504
Pavilion Junior-Senior High School,564,1504
Junior High School 62 Ditmas,565,1504
Bronx Dance Academy School,566,1504
West Buffalo Charter School,567,1504
Achievement First East New York Charter School,568,1504
School 30,569,1504
Ps 206 Joseph F Lamb,570,1504
Jasper-Troupsburg Junior-Senior High School,571,1504
Future Leaders Institute Charter School,572,1504
Achievement First Brownsville Charter School,573,1504
Frewsburg Junior-Senior High School,574,1504
Rochester Prep Charter School 2,575,1504
Stillwater Middle School High School,576,1504
Hawtree Creek Middle School,577,1504
Waverly Middle School,578,1504
Rochester Prep Charter School 3,579,1504
School 23,580,1504
Brooklyn Collaborative Studies,581,1504
York Early College Academy,582,1504
KIPP Troy Preparatory Charter School,583,1504
Bglig-Shirley Rodriguez-Remeneski Charter School,584,1504
Attica Junior High School,585,1504
Veronica E Connor Middle School,586,1504
Fabius-Pompey Middle School High School,587,1504
University Prep Charter Middle School,588,1504
Schenevus Central School,589,1504
Queens Collegiate - A College Board School,590,1504
J William Leary Junior High School,591,1504
Henry V Burger Junior High School,592,1504
Bainbridge-Guilford High School,593,1504
Knox Middle School,594,1504
Explore Empower Charter School,595,1504
Livingston Manor High School,596,1504
Ps/Is 30 Mary White Ovington,597,1504
Coney Island Preparatory Public Charter School,598,1504
Is 2 George L Egbert,599,1504
Fredonia Middle School,600,1504
Amani Public Charter School,601,1504
Hebrew Language Academy Charter School,602,1504
Ps 89,603,1504
Pine Grove Middle School,604,1504
Middle School 131,605,1504
Soule Road Middle School,606,1504
Gananda Middle School,607,1504
Ps 188 Island School (The),608,1504
Wappingers Junior High School,609,1504
Pioneer Middle School,610,1504
Jonas E Salk Middle School,611,1504
Mayfield Junior/Senior High School,612,1504
Alexander Middle School-High School,613,1504
Sand Creek Middle School,614,1504
Knowledge And Power Preparatory Academy VI,615,1504
